,0
"(-44763, 280)",Combination Does not Exist
"(-44763, 380)",Combination Does not Exist
"(-44763, 554)",Combination Does not Exist
"(-44763, 516)",Combination Does not Exist
"(-44763, 399)",Combination Does not Exist
"(-44763, 517)",Combination Does not Exist
"(-44763, 580)",Combination Does not Exist
"(-44763, 589)",Combination Does not Exist
"(-44763, 601)",Combination Does not Exist
"(-30755, 280)",Combination Does not Exist
"(-30755, 380)",Combination Does not Exist
"(-30755, 554)",Combination Does not Exist
"(-30755, 399)",Combination Does not Exist
"(-30755, 459)",Combination Does not Exist
"(-30755, 517)",Combination Does not Exist
"(-30755, 580)",Combination Does not Exist
"(-30755, 589)",Combination Does not Exist
"(-30755, 601)",Combination Does not Exist
"(-30764, 380)",Combination Does not Exist
"(-30764, 554)",Combination Does not Exist
"(-30764, 516)",Combination Does not Exist
"(-30764, 399)",Combination Does not Exist
"(-30764, 459)",Combination Does not Exist
"(-30764, 517)",Combination Does not Exist
"(-30764, 580)",Combination Does not Exist
"(-30764, 589)",Combination Does not Exist
"(-30764, 601)",Combination Does not Exist
"(-40507, 280)",Combination Does not Exist
"(-40507, 380)",Combination Does not Exist
"(-40507, 554)",Combination Does not Exist
"(-40507, 516)",Combination Does not Exist
"(-40507, 399)",Combination Does not Exist
"(-40507, 517)",Combination Does not Exist
"(-40507, 580)",Combination Does not Exist
"(-40507, 589)",Combination Does not Exist
"(-40507, 601)",Combination Does not Exist
"(-48395, 280)",Combination Does not Exist
"(-48395, 380)",No Historical Data | Item too new for the store
"(-48395, 554)",Combination Does not Exist
"(-48395, 516)",Combination Does not Exist
"(-48395, 399)",Combination Does not Exist
"(-48395, 459)",Combination Does not Exist
"(-48395, 517)",No Historical Data | Item too new for the store
"(-48395, 580)",Combination Does not Exist
"(-48395, 589)",Combination Does not Exist
"(-48395, 601)",Combination Does not Exist
"(-40562, 380)",Combination Does not Exist
"(-40562, 554)",Combination Does not Exist
"(-40562, 516)",Combination Does not Exist
"(-40562, 399)",Combination Does not Exist
"(-40562, 459)",Combination Does not Exist
"(-40562, 517)",Combination Does not Exist
"(-40562, 580)",Combination Does not Exist
"(-40562, 589)",Combination Does not Exist
"(-40562, 601)",Combination Does not Exist
"(-40508, 280)",Combination Does not Exist
"(-40508, 380)",Combination Does not Exist
"(-40508, 554)",Combination Does not Exist
"(-40508, 516)",Combination Does not Exist
"(-40508, 399)",Combination Does not Exist
"(-40508, 517)",Combination Does not Exist
"(-40508, 580)",Combination Does not Exist
"(-40508, 589)",Combination Does not Exist
"(-40508, 601)",Combination Does not Exist
"(-34071, 280)",Combination Does not Exist
"(-34071, 380)",Combination Does not Exist
"(-34071, 554)",Combination Does not Exist
"(-34071, 516)",Combination Does not Exist
"(-34071, 399)",Combination Does not Exist
"(-34071, 517)",Combination Does not Exist
"(-34071, 580)",Combination Does not Exist
"(-34071, 589)",Combination Does not Exist
"(-34071, 601)",Combination Does not Exist
"(-35452, 380)",Combination Does not Exist
"(-35452, 554)",Combination Does not Exist
"(-35452, 516)",Combination Does not Exist
"(-35452, 399)",Combination Does not Exist
"(-35452, 459)",Combination Does not Exist
"(-35452, 517)",Combination Does not Exist
"(-35452, 580)",Combination Does not Exist
"(-35452, 589)",Combination Does not Exist
"(-35452, 601)",Combination Does not Exist
"(-48453, 280)",Combination Does not Exist
"(-48453, 380)",Combination Does not Exist
"(-48453, 554)",Combination Does not Exist
"(-48453, 516)",Combination Does not Exist
"(-48453, 399)",Combination Does not Exist
"(-48453, 459)",No Historical Data | Item too new for the store
"(-48453, 517)",Combination Does not Exist
"(-48453, 580)",No Historical Data | Item too new for the store
"(-48453, 589)",No Historical Data | Item too new for the store
"(-48453, 601)",Combination Does not Exist
